length,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019
3.5,0,0,0,0,0,0,0,0,1349286,0,0,0,0,282386.12,76904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,22652054,4109184,30545,755530,0,0,80496278,1333027,4655928,18885938,920166,1958862.64,1737827,151859,25370,146321,0,0,0,0,0,0,0,0,0,0,0,0,0,5047
5.5,150939,0,78834818,135528136,458683,5078727,0,0,290684863,50214037,82910610,77281109,14137861,15652818.96,12612810,871389,267099,227612,0,0,0,0,0,0,0,0,0,0,9084,79559,127666,5047
6.5,0,1185220,90263914,71405360,3668497,11494008,6091799,0,86451954,103460603,159135282,39787183,23953665,28391279.5,31546451,4895195,1155186,1179581,1205849,245865,0,0,0,194881,458742,0,28185.32,644032,84964,1318370.29656,678805,55179
7.5,573643,9514882,71679461,38294558,11271725,13676201,33745116,402325,51557030,104612256,111271633,36838240,31157574,28040504.93,29038381,10188933,4102710,4153099,8860633,6128939,688172,116585,272743,2103753,5194684,3889449,602985.740235811,2978006,1007722,5764149.76235357,1181105,259123
8.5,9762967,51960357,75642881,37953096,38074609,16073316,50633643,856588,20725291,81319912.5,80759808,36558918,37380652,37882005,32347863,27445641,9296165,52549106,29647658,55212276,5411153,1276653,2656601,14897547,27663826,20977201,13583110.0271327,9119367,2990447,22430990.8271208,3279084.9700825,4084401.25605698
9.5,39581581,68127015,141112363,54152181,40203966,16431473,39106438,11951954,18850573,33620576,184910579,32423792,46337571,53831461.2,96315758,56971467,51696670,84284861,96773089,138189884,18299949,6957817,14380257,61105296,46825375,72486708,104548682.821572,74157234,33324238,84400927.1195614,15702747.0637307,68816889.6493718
10.5,103550409,152432238,223050674,100334157,75759903,16518561,56952936,24025001,12043470,21181312,282823812,55012675,59439182,81373989.25,128091964,91969844,119006552,179398170,112068097,142835076,25477212,27605475,48546449,133582620,38488525,120952600,239261114.476557,184818055,119946023,189507546.68831,49094114.1311391,68185507.6095445
11.5,135123022,147317315,159631967,130126173,76309202,18654335,68845568,15748266,39080931,50000289,292391163,73607279,39585815,113149777,132323341,95549973,124498724,91083504,118635531,120023734,28808393,54156332,84563012,204416734,47840105,85749080,240928516.764485,178218196,141127394,149422594.608509,89496468.2123788,119273608.275231
12.5,108890819,93614319,84614680,120015022,72680333,57800955,62922979,9780947,29398176,84397966,175870660,121998385,32341877,139266890,141423970,81561521,109001702,61573625,78530086,94328158,47899616,48606583,55698104,132392216,74315332,77956845,164505005.43603,104455377,124143543,41278039.9997585,117299335.628826,120530619.422085
13.5,35467451,32083426,31705347,66524088,26869449,40602223,27144516,4255771,10918427,85034268,70016783,91344715,20433644,113302555,109566722,55428789,65738635,35393062,48866129,57629680,54406665,46344367,33428175,44628674,78589299,65962730,93566813.9768188,64551642,93245268,17997994.4949506,58145204.0043849,44012537.9373236
14.5,5514726,11444848,7450658,17781367,6078620,8502556,11988048,1399702,5869855,30394416,17558813,36209328,10346727,63962338.52,58071190,27672183,19702941,12324722,10708517,8915138,30661727,22714389,13714861,17016040,39304223,25613787,27230172.3416748,32368493,38883466,7764457.02101547,22256244.3354779,15118492.3005655
15.5,9087379,3904201,1218805,3565918,1565740,1606684,5270843,226667,1490796,10134514,2658992,9232788,3731564,25941842.87,20930293,10832505,2481785,1141397,2134613,4697120,11604477,8526911,2576717,9776532,10041564,8647292,4114972.36767672,14039264,10136193,4173492.73749573,4514850.22612751,3623488.70364115
16.5,5615502,12816798,859225,4185936,496437,92023,1420456,0,158956,2519376,137723,1134475,286513,13683449.21,4882344,2330208,436003,200934,441154,44395,3447096,1049541,350544,1379199,1879504,1413968,759126.307440587,4765792,2998091,974930.19680678,576599.792595568,1356182.25558255
17.5,360316,5908983,408103,2299719,87013,0,216459,0,0,0,0,0,97095,6000223.54,1017985,493225,0,0,0,0,432059,4995,33690,185468,138952,145829,24948.83,715260,13629,197460.560275401,114998,291960.6861439
18.5,0,620691,105185,75004,0,0,0,0,0,0,0,0,0,39598.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784,14449,15223,0
19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,39598.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19206,0
20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11139.94,60065,2352,0,3228,0
