Length,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
2,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,1.13,0,0
18,0,0,0,0,0,4.862,0,12.429,0,0
22,0,0,0,0,0,9.724,0,40.678,0,6.136
26,0,2.271,0,0,0,95.528,0.294,16.374,0.478,13.747
30,40.304,8.222,0,0.838,0,236.941,22.888,43.118,44.6,94.844
34,409.958,6.999,4.511,0.798,147.742,162.799,173.536,85.3,87.134,261.753
38,458.735,26.067,16.581,38.217,93.031,148.916,267.676,116.531,51.871,168.875
42,211.497,44.2,22.38,73.762,41.788,179.886,292.49,142.683,23.144,112.275
46,130.017,90.277,62.637,110.013,57.163,148.323,223.016,151.009,28.158,154.245
50,68.125,144.264,91.449,193.478,80.626,95.663,177.808,64.289,72.001,86.6
54,38.443,262.88,80.427,150.419,96.224,95.774,100.414,66.197,95.6,92.715
58,41.602,160.43,135.108,106.269,148.824,68.631,63.794,75.489,154.844,93.429
62,32.26,113.006,84.132,43.081,172.857,55.292,37.895,54.544,79.531,52.002
66,60.176,30.95,68.408,49.996,65.569,41.636,20.075,42.354,60.292,51.254
70,24.132,30.527,35.82,35.817,46.148,28.877,16.606,38.089,27.62,17.554
74,14.246,18.145,15.245,54.515,39.06,26.084,13.956,24.108,21.718,13.258
78,5.106,5.709,11.216,3.844,8.808,2.562,6.454,13.938,13.689,13.049
82,3.085,5.207,6.535,1.142,1.202,1.921,2.698,12.522,20.37,2.026
86,3.468,6.91,3.631,3.428,1.122,2.963,0,1.652,1.645,5.687
90,0,4.989,0,0.897,0,0,0,3.22,0.235,2.626
94,0,0,0.653,0.901,0,0,0,0.414,0,0.017
98,0,0,0,2.182,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0
