MeanLength,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
12.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13.5,0,0,0,2,1,1,0,2,4,2,0,0,1,0,0,1,0,0,0,0
14.5,0,2,5,5,2,2,1,2,12,1,1,1,0,0,2,0,0,0,3,2
15.5,0,0,8,3,14,2,10,2,18,0,3,1,6,1,3,5,9,3,3,5
16.5,1,24,72,27,37,25,77,30,42,19,23,15,15,5,12,13,6,8,12,5
17.5,4,104,304,199,141,133,207,123,104,67,93,37,40,6,60,35,18,35,38,26
18.5,6,174,488,310,282,370,397,307,319,331,200,76,86,24,163,107,86,149,164,119
19.5,26,226,466,436,291,604,541,485,526,542,389,171,130,101,302,196,218,433,287,187
20.5,49,302,491,435,324,758,722,497,589,734,450,207,161,160,306,265,243,517,468,276
21.5,86,328,469,464,337,706,577,428,592,586,526,163,158,185,242,307,295,511,522,311
22.5,84,248,455,446,399,571,549,382,536,502,481,119,127,149,204,256,247,424,504,320
23.5,62,167,397,407,413,607,418,297,374,360,363,64,98,91,132,188,216,262,412,204
24.5,36,105,293,266,285,497,285,202,231,253,292,41,51,65,88,99,213,186,277,142
25.5,24,58,204,219,204,363,233,130,153,145,192,34,26,41,56,59,160,119,185,124
26.5,15,35,136,167,129,264,180,103,98,83,140,18,15,28,25,41,124,82,147,62
27.5,14,25,101,127,98,149,116,57,80,52,94,13,17,18,18,13,81,74,118,54
28.5,9,17,77,97,70,86,80,42,49,30,55,4,17,15,11,6,64,44,64,33
29.5,5,9,51,68,48,39,49,20,26,20,36,10,9,12,5,7,49,36,44,17
30.5,3,8,40,43,38,25,33,23,17,8,16,11,8,4,1,6,25,13,19,17
31.5,8,0,14,19,8,6,15,16,10,6,8,7,0,2,0,2,13,11,20,8
32.5,0,3,8,9,11,6,2,6,7,3,5,8,3,1,0,1,28,12,7,8
33.5,1,0,10,3,6,4,11,1,1,2,4,5,0,0,0,0,8,3,1,1
34.5,0,0,2,5,4,0,1,0,1,0,4,1,1,1,0,0,4,3,3,0
35.5,0,0,2,0,2,0,1,2,0,1,1,1,1,0,0,0,2,0,0,0
36.5,0,0,3,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
37.5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0
39.5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
